index,Login Timestamp,User ID,Round-Trip Time,IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
4619744,2020-04-06 10:10:46,1.28E+18,,81.166.118.143,NO,Rogaland,Stavanger,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 PHX/5.3",Chrome Mobile 81.0.4044,iOS 13.4,mobile,TRUE,FALSE,FALSE
5322462,2020-04-15 22:55:08,1.28E+18,,10.0.9.44,NO,-,-,207674,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.111 Mobile Safari/537.36 OPT/2.3",Chrome Mobile 81.0.4044.1926,iOS 13.4,mobile,FALSE,TRUE,FALSE
5322503,2020-04-15 22:57:41,1.28E+18,,10.0.9.44,NO,-,-,207674,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.111 Mobile Safari/537.36 OPT/2.3",Chrome Mobile 81.0.4044.1926,iOS 13.4,mobile,TRUE,TRUE,FALSE
6220103,2020-04-28 17:10:19,1.28E+18,,79.160.232.181,NO,Rogaland,Stavanger,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1943.117 Mobile Safari/537.36 PHX/5.5",Chrome Mobile 81.0.4044.1943,iOS 13.4,mobile,TRUE,FALSE,FALSE
6251299,2020-04-29 7:00:17,1.28E+18,,10.1.17.128,NO,Rogaland,Hellvik,207674,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.96 Mobile Safari/537.36 OPT/2.3",Chrome Mobile 81.0.4044.1926,iOS 13.4,mobile,TRUE,FALSE,FALSE
11837258,2020-07-16 5:40:44,1.28E+18,,80.232.98.130,NO,Rogaland,Bryne,25400,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.117 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1925,iOS 13.4,mobile,TRUE,FALSE,FALSE
14915691,2020-08-29 7:49:20,1.28E+18,,10.0.8.231,NO,-,-,207674,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1929.111 Mobile Safari/537.36 PHX/5.6",Chrome Mobile 81.0.4044.1929,iOS 13.4,mobile,TRUE,TRUE,FALSE
14921089,2020-08-29 9:04:36,1.28E+18,,62.176.221.165,NO,-,-,203650,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1929.111 Mobile Safari/537.36 PHX/5.6",Chrome Mobile 81.0.4044.1929,iOS 13.4,mobile,TRUE,FALSE,FALSE
15043833,2020-08-31 1:01:08,1.28E+18,,80.239.42.158,NO,Rogaland,Bryne,25400,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1939.117 Mobile Safari/537.36,gzip(gfe,gzip(gfe",Chrome Mobile 81.0.4044.1939,iOS 13.4,mobile,TRUE,FALSE,FALSE
15235736,2020-09-02 9:12:39,1.28E+18,,10.0.15.36,ID,East Java,Ponorogo,197175,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1950.138 Mobile Safari/537.36 variation/85774",Chrome Mobile 81.0.4044.1950,Android 5.5.1,mobile,TRUE,TRUE,TRUE
